2026/09/21 20:04:34.890, 69.75 W, 600.00 W, 2542 MHz, 52, 31742 MiB
2026/09/21 20:04:35.891, 69.65 W, 600.00 W, 2542 MHz, 52, 31742 MiB
2026/09/21 20:04:36.891, 69.22 W, 600.00 W, 2542 MHz, 52, 31742 MiB
2026/09/21 20:04:37.892, 69.29 W, 600.00 W, 2542 MHz, 52, 31742 MiB
2026/09/21 20:04:38.892, 77.82 W, 600.00 W, 2542 MHz, 52, 31742 MiB
2026/09/21 20:04:39.893, 69.83 W, 600.00 W, 2542 MHz, 51, 31742 MiB
2026/09/21 20:04:40.893, 70.09 W, 600.00 W, 2542 MHz, 51, 31742 MiB
2026/09/21 20:04:41.894, 70.10 W, 600.00 W, 2542 MHz, 51, 31742 MiB
2026/09/21 20:04:42.894, 69.57 W, 600.00 W, 2542 MHz, 51, 31742 MiB
2026/09/21 20:04:43.895, 538.55 W, 600.00 W, 2737 MHz, 67, 31742 MiB
2026/09/21 20:04:44.896, 599.88 W, 600.00 W, 2730 MHz, 68, 31742 MiB
2026/09/21 20:04:45.896, 600.32 W, 600.00 W, 2730 MHz, 68, 31742 MiB
2026/09/21 20:04:46.897, 599.16 W, 600.00 W, 2722 MHz, 69, 31742 MiB
2026/09/21 20:04:47.899, 601.01 W, 600.00 W, 2752 MHz, 67, 31742 MiB
2026/09/21 20:04:48.900, 600.98 W, 600.00 W, 2737 MHz, 70, 31742 MiB
2026/09/21 20:04:49.901, 599.86 W, 600.00 W, 2737 MHz, 69, 31742 MiB
2026/09/21 20:04:50.901, 600.11 W, 600.00 W, 2730 MHz, 70, 31744 MiB
2026/09/21 20:04:51.902, 599.20 W, 600.00 W, 2730 MHz, 71, 31744 MiB
2026/09/21 20:04:52.902, 600.27 W, 600.00 W, 2715 MHz, 70, 31744 MiB
2026/09/21 20:04:53.903, 572.27 W, 600.00 W, 2752 MHz, 64, 31744 MiB
2026/09/21 20:04:54.904, 459.39 W, 600.00 W, 2850 MHz, 64, 31744 MiB
2026/09/21 20:04:55.905, 460.30 W, 600.00 W, 2850 MHz, 64, 31744 MiB
2026/09/21 20:04:56.906, 482.26 W, 600.00 W, 2850 MHz, 70, 31744 MiB
2026/09/21 20:04:57.907, 605.69 W, 600.00 W, 2737 MHz, 71, 31744 MiB
2026/09/21 20:04:58.908, 589.21 W, 600.00 W, 2730 MHz, 67, 31744 MiB
2026/09/21 20:04:59.909, 430.23 W, 600.00 W, 2857 MHz, 63, 31744 MiB
2026/09/21 20:05:00.910, 379.48 W, 600.00 W, 2872 MHz, 63, 31744 MiB
2026/09/21 20:05:01.911, 385.25 W, 600.00 W, 2880 MHz, 62, 31744 MiB
